4b6e5cf4-50ae-4ca1-875c-72e00e02b702	S2B_MSIL2A_20220709T181919_N0400_R127_T11SQA_20220709T211419.SAFE	2.491518	4.203902	online
4b8122d7-abf3-40ce-985e-d57798de5dd0	S2A_MSIL2A_20220810T180931_N0400_R084_T12TXL_20220811T001501.SAFE	1.657146	2.581767	online
4c47880a-50b9-4d7f-88af-19c787db3ec4	S2A_MSIL2A_20221117T184651_N0400_R070_T11SKD_20221117T222453.SAFE	4.609787	3.051916	online
4cb5187c-604c-4fc7-b817-447d37b8ad67	S2B_MSIL2A_20220208T185529_N0400_R113_T10SGJ_20220208T220455.SAFE	5.543936	0.017864	online
4d77637c-f13a-4e43-a141-d71b1c185826	S2A_MSIL2A_20220306T182221_N0400_R127_T11SPS_20220306T214016.SAFE	5.489132	0.077579	online
4d91f9cb-90c7-4e36-9275-ae985b282ead	S2B_MSIL2A_20221003T184219_N0400_R070_T11SKD_20221003T235333.SAFE	4.824197	0.029951	online
4dc2b82f-9412-4c02-b6de-b87ee59c6008	S2A_MSIL2A_20220223T185401_N0400_R113_T10SEJ_20220223T214526.SAFE	2.300553	3.623725	online
4de6ed4d-4719-49d3-bb32-eed9c35a0f44	S2A_MSIL2A_20220919T181031_N0400_R084_T12TVM_20220919T235355.SAFE	2.76739	0.001884	online
4e0ed8bd-ccc5-4d26-a918-ac35dfa890c1	S2B_MSIL2A_20220529T184919_N0400_R113_T10SEH_20220529T214131.SAFE	10.319186	0.037541	online
4e11311c-e175-4c1f-a4e1-18d9316b48d0	S2B_MSIL2A_20221115T185639_N0400_R113_T10TFK_20221115T205212.SAFE	1.427967	0.079114	online
60dc9350-671c-4fdb-9220-43632420853c	S2B_MSIL2A_20220429T184909_N0400_R113_T11SKD_20220429T220716.SAFE	6.963933	0.235464	online
636b5cac-39cd-4475-b7ab-2b6fe9b16325	S2B_MSIL2A_20230302T184309_N0509_R070_T10SGJ_20230303T001958.SAFE	4.74904	0.502019	online
64cf3a95-4b3e-458e-8c2a-939f3b5c0af4	S2A_MSIL2A_20220919T181031_N0400_R084_T12TVK_20220919T235355.SAFE	3.373055	0.008713	online
