S2A_MSIL2A_20220704T181931_N0400_R127_T12TUL_20220705T003414.SAFE	T12TUL_20220704T181931_B04_10m.jp2	92
S2A_MSIL2A_20220704T181931_N0400_R127_T12TUL_20220705T003414.SAFE	T12TUL_20220704T181931_B08_10m.jp2	92
S2B_MSIL2A_20220321T181939_N0400_R127_T11SQA_20220321T213553.SAFE	T11SQA_20220321T181939_B08_10m.jp2	0
S2B_MSIL2A_20220807T184919_N0400_R113_T10TFM_20220807T215132.SAFE	T10TFM_20220807T184919_SCL_20m.jp2	92
S2A_MSIL2A_20221001T185211_N0400_R113_T10SFG_20221002T001553.SAFE	T10SFG_20221001T185211_SCL_20m.jp2	92
S2B_MSIL2A_20221014T181319_N0400_R084_T12TVM_20221014T205708.SAFE	T12TVM_20221014T181319_B04_10m.jp2	0
S2B_MSIL2A_20221014T181319_N0400_R084_T12TVM_20221014T205708.SAFE	T12TVM_20221014T181319_SCL_20m.jp2	0
S2B_MSIL2A_20221014T181319_N0400_R084_T12TVM_20221014T205708.SAFE	T12TVM_20221014T181319_B08_10m.jp2	0
S2B_MSIL2A_20220808T181919_N0400_R127_T12TVM_20220808T211049.SAFE	T12TVM_20220808T181919_SCL_20m.jp2	0
S2B_MSIL2A_20220514T175909_N0400_R041_T12SWG_20220514T212015.SAFE	T12SWG_20220514T175909_SCL_20m.jp2	0
S2B_MSIL2A_20220514T175909_N0400_R041_T12SWG_20220514T212015.SAFE	T12SWG_20220514T175909_B03_10m.jp2	0
S2B_MSIL2A_20220529T184919_N0400_R113_T10SFG_20220529T214131.SAFE	T10SFG_20220529T184919_SCL_20m.jp2	92
S2A_MSIL2A_20221011T185321_N0400_R113_T11TKE_20221011T231055.SAFE	T11TKE_20221011T185321_SCL_20m.jp2	0
S2B_MSIL2A_20220904T180919_N0400_R084_T12TVM_20220904T210051.SAFE	T12TVM_20220904T180919_SCL_20m.jp2	0
S2B_MSIL2A_20220206T181519_N0400_R084_T12TVM_20220206T204138.SAFE	T12TVM_20220206T181519_B08_10m.jp2	92
